field_1,lat,lng,time,population,popxtime
0,30.511600000000001,-97.753810000000158,488.000000000000000,1370.938964843750000,669018.214843750000000
1,30.506599999999999,-97.748810000000205,494.000000000000000,1816.201049804687500,897203.318603515625000
2,30.501600000000003,-97.788810000000140,486.000000000000000,858.370727539062500,417168.173583984375000
3,30.496600000000004,-97.798810000000131,623.000000000000000,1526.593017578125000,951067.449951171875000
4,30.491600000000005,-97.798810000000131,490.000000000000000,1526.593017578125000,748030.578613281250000
5,30.491600000000005,-97.793810000000136,558.000000000000000,1526.593017578125000,851838.903808593750000
6,30.486600000000010,-97.803810000000126,550.000000000000000,114.508300781250000,62979.565429687500000
7,30.486600000000010,-97.798810000000131,505.000000000000000,147.075607299804688,74273.181686401367188
8,30.486600000000010,-97.788810000000140,524.000000000000000,358.808013916015625,188015.399291992187500
9,30.476600000000008,-97.808810000000136,505.000000000000000,1381.878051757812500,697848.416137695312500
10,30.476600000000008,-97.803810000000126,497.000000000000000,370.976989746093750,184375.563903808593750
11,30.471600000000009,-97.808810000000136,488.000000000000000,673.016601562500000,328432.101562500000000
12,30.466600000000010,-97.808810000000136,503.000000000000000,673.016601562500000,338527.350585937500000
13,30.446600000000011,-97.703810000000203,507.000000000000000,41.059139251708977,20816.983600616451440
14,30.446600000000011,-97.663810000000225,716.000000000000000,1305.156005859375000,934491.700195312500000
15,30.441600000000008,-97.753810000000158,569.000000000000000,3067.387939453125000,1745343.737548828125000
16,30.441600000000008,-97.748810000000205,594.000000000000000,2269.656982421875000,1348176.247558593750000
17,30.441600000000008,-97.743810000000209,677.000000000000000,2269.656982421875000,1536557.777099609375000
18,30.441600000000008,-97.668810000000235,585.000000000000000,1774.098022460937500,1037847.343139648437500
19,30.441600000000008,-97.663810000000225,540.000000000000000,1305.156005859375000,704784.243164062500000
21,30.436600000000009,-97.833810000000099,498.000000000000000,1873.535034179687500,933020.447021484375000
22,30.436600000000009,-97.828810000000075,580.000000000000000,1860.745971679687500,1079232.663574218750000
